id,category,language,story,acceptance_criteria,expected_issues
BAD-EN-01,bad,en,As a user I want the system to work well and be fast.,"","Missing 'so that' clause|Vague terms: 'work well' and 'fast'|No acceptance criteria"
BAD-EN-02,bad,en,As a developer I want to build the authentication module using React and PostgreSQL so that users can log in.,"","Prescribes implementation technology (React, PostgreSQL)|No acceptance criteria|Developer should not be the actor for a user-facing story"
BAD-FR-01,bad,fr,En tant qu'administrateur je veux que l'application soit rapide et intuitive.,"","Termes vagues: 'rapide' et 'intuitive'|Pas de clause 'afin de'|Aucun critère d'acceptation"
MED-EN-01,medium,en,As a registered user I want to log in to my account so that I can access my personal dashboard.,"","No acceptance criteria|No measurable conditions"
MED-EN-02,medium,en,As a customer I want to view my order history so that I can track my past purchases.,"The page shows previous orders|Orders are sorted by date","AC not verifiable — no action verbs or measurable conditions|No time or quantity constraints"
MED-EN-03,medium,en,As a manager I want to export the monthly report so that I can share it with stakeholders.,"The report can be exported|The file is downloadable","Vague AC — no format specified (PDF? CSV?)|No size or time constraint|No mention of what data is included"
MED-FR-01,medium,fr,En tant qu'utilisateur je veux pouvoir réinitialiser mon mot de passe afin d'accéder à mon compte si je l'oublie.,"","Aucun critère d'acceptation|Pas de condition mesurable|Délai d'expiration du lien non précisé"
MED-FR-02,medium,fr,En tant que responsable RH je veux consulter les candidatures reçues afin de sélectionner les meilleurs profils pour un entretien.,"La liste des candidatures est affichée|Le responsable peut filtrer par poste|Les candidatures sont triées par date de dépôt","AC sans verbe d'action clair|Pas de limite de temps ou de quantité spécifiée"
GOOD-EN-01,good,en,As a registered user I want to reset my password via email so that I can regain access to my account when I forget my credentials.,"The system sends a password reset email within 2 minutes of the request|The reset link expires after 24 hours|The user receives a confirmation message after successfully changing the password|The new password must contain at least 8 characters including one number",""
GOOD-FR-01,good,fr,En tant qu'utilisateur connecté je veux pouvoir modifier mon adresse de livraison afin de recevoir mes commandes à l'adresse correcte.,"L'utilisateur peut modifier son adresse depuis son profil en moins de 3 clics|La modification est confirmée par un message dans les 2 secondes|L'ancienne adresse est conservée dans l'historique pendant 30 jours|Les commandes en cours ne sont pas affectées par la modification",""
